Mes,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Promedio_multianual
Ene,1.8229,1.3152,0.5246,2.5393,2.693,1.1339,1.6768,2.162,2.26,2.9806,1.7425,1.8955
Feb,1.84,2.0207,0.8785,1.6929,1.6198,2.0913,1.2915,2.0212,2.3138,2.0627,1.7895,1.7838
Mar,2.9103,1.9455,1.4809,3.0385,1.8867,2.6298,2.0056,3.49,3.7889,3.2751,1.5797,2.5483
Abr,2.1993,2.932,2.3798,3.5502,3.497,3.5318,2.3762,2.9137,4.3085,3.2417,2.2834,3.0194
May,3.3335,2.1397,2.7033,4.1472,4.1405,3.2417,2.4889,3.9331,3.7599,2.6568,3.5841,3.2844
Jun,2.3127,2.183,2.1201,2.8416,2.712,3.2694,2.82,4.0947,3.6986,2.4985,3.1644,2.8832
Jul,2.0739,1.604,2.0364,1.9532,1.8751,1.9032,3.0255,2.6277,3.3944,2.2097,2.61,2.3012
Ago,1.6323,1.3538,1.8497,1.9163,1.52,1.4074,2.6231,3.146,3.0898,2.128,1.8107,2.0434
Sep,2.089,1.4123,2.4054,2.4038,2.2122,1.5417,3.0208,3.1655,3.0619,1.7254,1.6613,2.2454
Oct,2.6926,1.7565,3.1336,2.6403,3.315,2.7648,2.953,3.6173,3.5486,2.387,2.3305,2.8308
Nov,3.1423,2.2717,3.1955,3.5543,3.5935,3.3774,3.7787,3.9956,3.9753,3.084,3.1714,3.3763
Dic,2.382,1.1252,2.9075,2.4295,2.0284,2.6957,3.1421,3.1439,3.0639,2.0647,2.5882,2.5065
